Vendor Name	Zattoo Europe Ltd.
Start Date	02/27/2022
End Date	03/26/2022
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
03/15/2022	03/15/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	10	10.62	106.20	EUR	14.990	EUR	S				
02/27/2022	02/27/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	-2	10.62	-21.24	EUR	-14.990	EUR	R				
03/11/2022	03/11/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	12	10.62	127.44	EUR	14.990	EUR	S				
03/21/2022	03/21/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	6	10.62	63.72	EUR	14.990	EUR	S				
03/01/2022	03/02/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	7	10.62	74.34	EUR	14.990	EUR	S				
03/12/2022	03/12/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	12	10.62	127.44	EUR	14.990	EUR	S				
03/19/2022	03/20/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	3	10.62	31.86	EUR	14.990	EUR	S				
03/16/2022	03/16/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	7	10.62	74.34	EUR	14.990	EUR	S				
03/20/2022	03/21/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	2	10.62	21.24	EUR	14.990	EUR	S				
03/10/2022	03/11/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	5	10.62	53.10	EUR	14.990	EUR	S				
03/03/2022	03/03/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	16	10.62	169.92	EUR	14.990	EUR	S				
03/23/2022	03/23/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	7	10.62	74.34	EUR	14.990	EUR	S				
03/21/2022	03/22/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	1	10.62	10.62	EUR	14.990	EUR	S				
03/23/2022	03/24/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	8	10.62	84.96	EUR	14.990	EUR	S				
03/13/2022	03/14/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	5	10.62	53.10	EUR	14.990	EUR	S				
